  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
       101      1.690           1.691           2.913           2.234           1.323           0.234
       102      1.582           1.580           2.825           2.123           1.175           0.293
       103      1.798           1.800           2.961           2.295           1.405           0.505
       104      1.846           1.843           3.038           2.355           1.486           0.415
       105      1.731           1.726           2.919           2.255           1.592           0.302
       106      1.871           1.876           3.048           2.370           1.363           0.527
       107      1.961           1.966           3.118           2.456           1.563           0.384
       108      1.767           1.755           3.019           2.307           1.805           0.502
       109      1.793           1.797           2.909           2.266           1.429           0.478
       110      1.739           1.735           2.976           2.273           1.396           0.531
       111      1.762           1.756           3.008           2.303           1.714           0.466
       112      1.831           1.825           3.024           2.355           1.514           0.354
       113      1.662           1.655           2.908           2.218           1.821           0.319
       114      1.689           1.690           2.977           2.263           1.451           0.400
       115      1.785           1.776           3.070           2.355           1.600           0.446
       116      1.883           1.875           3.141           2.441           1.310           0.383
       117      1.857           1.849           2.996           2.350           1.453           0.224
       118      1.863           1.848           3.019           2.352           1.708           0.331
       119      1.710           1.701           2.954           2.250           1.222           0.271
       120      1.792           1.784           3.009           2.327           1.180           0.292
       121      1.668           1.660           2.866           2.195           1.411           0.318
       122      1.652           1.651           2.867           2.194           1.633           0.429
       123      1.808           1.802           2.972           2.317           1.353           0.358
       124      1.754           1.732           2.932           2.282           1.121           0.301
       125      1.811           1.804           3.035           2.362           1.442           0.241
       126      1.536           1.534           2.839           2.132           1.048           0.324
       127      1.557           1.554           2.877           2.178           1.488           0.421
       128      1.685           1.678           2.987           2.281           0.861           0.393
       129      1.645           1.644           2.918           2.232           1.088           0.354
       130      1.735           1.733           2.980           2.305           1.584           0.450
       131      1.738           1.732           3.003           2.311           1.389           0.267
       132      1.703           1.706           2.992           2.289           1.258           0.359
       133      1.735           1.732           2.991           2.295           1.124           0.374
       134      1.691           1.686           2.937           2.242           1.407           0.453
       135      1.635           1.632           2.873           2.189           1.240           0.256
       136      1.878           1.873           3.007           2.369           1.263           0.325
       137      1.640           1.642           2.808           2.161           1.118           0.386
       138      1.757           1.752           2.926           2.264           1.156           0.358
       139      1.575           1.580           2.828           2.148           1.075           0.314
       140      1.737           1.738           2.931           2.276           1.146           0.308
       141      1.672           1.671           2.949           2.250           0.991           0.354
       142      1.802           1.800           3.028           2.353           1.472           0.185
       143      1.582           1.578           2.857           2.163           0.978           0.368
       144      1.663           1.664           2.879           2.199           1.392           0.316
       145      1.628           1.620           2.912           2.200           1.021           0.332
       146      1.849           1.842           3.135           2.440           1.350           0.328
       147      1.686           1.693           2.939           2.258           1.409           0.322
